web-scraper-order,web-scraper-start-url,title,rating
1615235103-41,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3
1615235103-49,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,null
1615235103-50,https://www.rappi.com.mx/restaurantes/category/pizza,Ge Vito's Pizza Juriquilla,null
1615235103-44,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6
1615235357-57,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.5
1615235357-68,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3
1615235357-56,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615235357-85,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,null
1615235357-65,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null
1615235357-72,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null
1615235357-73,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null
1615235357-60,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null
1615235357-59,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null
1615235357-74,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null
1615235357-78,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615235357-86,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615235357-62,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null
1615235357-69,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null
1615235357-75,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,null
1615235357-66,https://www.rappi.com.mx/restaurantes/category/pizza,Buda Pizza,null
1615235357-82,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null
1615235357-63,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null
1615235357-71,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1615235357-81,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null
1615235357-84,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615235357-58,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.5
1615235357-70,https://www.rappi.com.mx/restaurantes/category/pizza,Sofía Pizzería,null
1615235357-61,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null
1615235357-79,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615235357-67,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null
1615235357-80,https://www.rappi.com.mx/restaurantes/category/pizza,Promo Pizza,null
1615235357-77,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null
1615235357-83,https://www.rappi.com.mx/restaurantes/category/pizza,Mozza Pizzería,null
1615235357-64,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null
1615235357-89,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null
1615235357-90,https://www.rappi.com.mx/restaurantes/category/pizza,Bora Borazza,null
1615235357-76,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null
1615235357-87,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null
1615235357-88,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7
1615235846-95,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,null
1615235846-92,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7
1615235846-102,https://www.rappi.com.mx/restaurantes/category/pizza,Reginella,null
1615235846-99,https://www.rappi.com.mx/restaurantes/category/pizza,Ameizing Pizza,null
1615235846-93,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,null
1615235846-91,https://www.rappi.com.mx/restaurantes/category/pizza,Piero's Pizzas,null
1615235846-101,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzas Campanario,null
1615235846-94,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,null
1615235846-100,https://www.rappi.com.mx/restaurantes/category/pizza,Promo Pizza,null
1615235846-96,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null
1615235846-97,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Industry,null
1615235846-98,https://www.rappi.com.mx/restaurantes/category/pizza,Mi Pizza,null
1615235846-103,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.9
