web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505704-10739,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento amoblado en el pueblito de 3 dormitorios y 114 mts2! Rahqro,"$13,000",3,"3
                                    
                                
                                Baños",114 m²
1620505942-11324,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"Departamento en Renta, en Juriquilla, Querétaro","$14,000",2,"2
                                    
                                
                                Baños",109 m²
1620505613-10567,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,RENTA DEPARTAMENTO AMUEBLADO EN CENTRO SUR 2 RECAMARAS 2 BAÑOS,"$21,000",2,"2
                                    
                                
                                Baños",87 m²
1620505872-11174,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,"Departamento en renta en Natuur, San José el Alto","$18,100",3,"2
                                    
                                
                                Baños",160 m²
1620505942-11330,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento - Juriquilla,"$25,000",2,"2
                                    
                                
                                Baños",170 m²
1620505960-11401,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Lindo Departamento en Renta. Juriquilla. FVR,"$23,500",3,"3
                                    
                                
                                Baños",184 m²
1620506014-11567,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,"RENTO DEPA EN JURIQUILLA, QUERÉTARO.","$13,500",2,"2
                                    
                                
                                Baños",91 m²
1620505836-11096,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,"DEPARTAMENTO EN RENTA, MILENIO III, QUERÉTARO, QRO.","$14,080",3,"2
                                    
                                
                                Baños",140 m²
1620505761-10882,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO EN LA RESERVA EL CAMPANARIO,"$15,000",2,"2
                                    
                                
                                Baños",113 m²
1620505872-11175,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,RENTA DEPARTAMENTOS AMUEBLADOS - NATURR- EL REFUGIO - QUERETARO,"$20,000",2,"2
                                    
                                
                                Baños",90 m²
1620505942-11335,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento Exclusivo en Renta Amueblado Juriquilla Santa Fe,"$25,000",2,"2
                                    
                                
                                Baños",137 m²
1620505704-10757,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,"Hermoso departamento en renta 2 recamaras en el pueblito, sin muebles jgj","$7,800",2,"2
                                    
                                
                                Baños",80 m²
1620505725-10801,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta Departamento Adamant Queretaro  Amueblado,"$19,000",2,"2
                                    
                                
                                Baños",75 m²
1620505979-11444,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta a Estrenar en Juriquilla,"$16,000",2,"2
                                    
                                
                                Baños",126 m²
1620505997-11522,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$30,000",3,"2
                                    
                                
                                Baños",175 m²
1620505979-11449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Se Renta Departamento 2 Recámaras en Juriquilla Posee Alberca y Gym YCC,"$17,000",2,"2
                                    
                                
                                Baños",98 m²
1620505960-11379,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"Renta de Departamento  Amueblado en, Querétaro, ideal para ejecutivo EN RENTA","$14,000",1,"1
                                    
                                
                                Baño",70 m²
1620505836-11084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Penthouse en renta amoblado de 3 dormitorios y 246 mts2 en El Milenio III RAHQRO,"$27,000",3,"3
                                    
                                
                                Baños",246 m²
1620505761-10879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO AMUEBLADO EN CITY VIEW,"$24,000",2,"2
                                    
                                
                                Baños",133 m²
1620505636-10600,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Renta Departamento Centro Sur, excelente ubicación","$15,085",2,"2
                                    
                                
                                Baños",109 m²
1620505796-10972,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta por la zona de El Mirador,"$14,000",2,"2
                                    
                                
                                Baños",122 m²
1620505681-10681,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,Se rentan departamentos (tipo loft) y recamaras en Av. Paseo Jurica,"$4,500",1,"1
                                    
                                
                                Baño",60 m²
