web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620521010-14372,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=4,Casa en El Refugio de 3 dormitorios y 150 mts2! RAHQRO,"$2,390,000",2,3,150
1620498557-7463,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=17,PREVENTA DE HERMOSA CASA DUPLEX CON AMENIDADES INCREIBLES,"$2,425,000",2,3,2021
1620503605-8876,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/,CASA EN VENTA CANDILES,"$1,700,000",1,2,138
1620501312-7803,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=5,VENTA DE CASA GALA JURIQUILLA EN CUMBRES DEL LAGO,"$3,300,000",2,3,170
1620523552-14626,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=6,"En esquina de amplio tamaño y 311 mts2, Casa en El Mirador de 4 dormitorios! RAH","$5,000,000",3,4,311
1620507124-11754,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Jurica casa en venta de 3 recamaras y 235 mts2!,"$3,320,000",2,3,235
1620520236-14293,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,"Casa en Venta con Roof Garden, Residencial el Refugio, Queretaro","$2,950,000",3,3,216
1620524069-14677,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=4,"Casa en Privada con Amenidades. Venta, El Mirador","$2,376,501",3,3,120
1620515593-13769,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=25,Ultimas ubicaciones modelo b,"$3,350,000",2,3,170
1620509519-12013,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=9,"CASA EN VENTA CON ROOF GARDEN, MILENIO III QUERETARO","$3,350,000",3,3,200
